Job Title,Company,Salary,Job Description,Work Location,Department,Employment Type,Shift,Experience,Education,Avg_Salary
Senior Data Visualization Consultant,Kpmg India Services Llp,,"Technology Consulting-DP Data Visualization Senior, Description, About KPMG in India, KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada., KPMG entities in India offer services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focused and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment., Alteryx + Tableau, Equal employment opportunity information, KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their color, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you., Qualifications, B.tech","Bangalore, Bangalore - EGL Pebble Beach -KPMG, EGL Pebble Beach -KPMG, Bangalore, Karnataka, India",Consulting,Full Time,Day Shift,Min. 5 years,NaN,17500
"Senior Data Engineering, Management & Governance Analyst",Accenture India Private Limited,,"Data Eng, Mgmt & Governance Analyst, Skill required:, Data Management - Structured Query Language (SQL), Designation:, Data Eng, Mgmt & Governance Analyst, Qualifications:, BE,BTech, Years of Experience:, 3 - 5 Years, About Accenture, Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and  Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries.  We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and  communities.Visit us at www.accenture.com, What would you do?, Data  &  AI, The  role  may  require  for  you  to  work  on  SQL  (Structured  Query  Language)  which  is  a  Domain-specific  language  used  in  programming  and  designed  for  querying  and  modifying  data  and  managing  databases., What are we looking for?, •  Structured  Query  Language  (SQL), •  Google  Cloud  Platform  (GCP), •  Google  BigQuery, •  ETL, •  Adaptable  and  flexible, •  Problem-solving  skills, •  Strong  analytical  skills, •  Prioritization  of  workload, •  Commitment  to  quality, Roles and Responsibilities:, •  In  this  role  you  are  required  to  do  analysis  and  solving  of  increasingly  complex  problems, •  Your  day-to-day  interactions  are  with  peers  within  Accenture, •  You  are  likely  to  have  some  interaction  with  clients  and/or  Accenture  management, •  You  will  be  given  minimal  instruction  on  daily  work/tasks  and  a  moderate  level  of  instruction  on  new  assignments, •  Decisions  that  are  made  by  you  impact  your  own  work  and  may  impact  the  work  of  others, •  In  this  role  you  would  be  an  individual  contributor  and/or  oversee  a  small  work  effort  and/or  team, •  Please  note  that  this  role  may  require  you  to  work  in  rotational  shifts",Bengaluru,Data Science & Analytics,Full Time,Day Shift,Min. 5 years,NaN,17500
Data Consultant,Capgemini Technology Services India Limited,,"Data Consultant | 8 to 12 years | Gurugram, Since June 2021,, frog is part of Capgemini Invent, . frog partners with customer-centric enterprises to drive sustainable growth, by building and orchestrating experiences at scale, while harnessing the power of data and technology. Were inventing the future of customer experiences by delivering market-defining business models, products, services, brand engagements and communications., Joining frog means youll be joining the pond, a global network of studios, each with a thriving in-person and vibrant virtual culture. frogs are curious, collaborative, and courageous, united by our passion for improving the human experience across our areas of expertise, while each bringing our unique and diverse skills and experiences to the table. We draw on our global reach and local knowledge to solve complex problems and create innovative, sustainable solutions that touch hearts and move markets. frogs prize humour, positivity, and community just as highly as performance and outcomes. Our culture is open, flexible, inclusive, and engaging. Working at frog means being empowered to meet the moment, and Make Your Mark on every project, in your studio, your community  and the world at large., Job Description, Client Engagement & Advisory:, Partner with clients to understand their business goals, CX challenges, and data needs., Provide strategic recommendations on how to leverage data to enhance customer engagement, satisfaction, and retention., Data Strategy Development:, Design comprehensive data strategies tailored to client objectives, including customer segmentation, predictive modelling, and personalization., Define KPIs and metrics to measure the success of CX initiatives., Data Analysis & Insights:, Analyze structured and unstructured data to derive actionable insights., Leverage advanced analytics techniques, including machine learning and AI, to identify trends and opportunities., Solution Design & Implementation:, Collaborate with technical teams to design and implement data platforms, dashboards, and analytics solutions., Drive the implementation of customer data platforms (CDPs), marketing automation tools, and analytics systems., Stakeholder Management:, Act as a trusted advisor to business stakeholders., Present findings, recommendations, and reports in a clear, compelling manner, Your Profile, 8-10 years of experience in data analytics, data strategy, or consulting roles, with a focus on customer experience, marketing, or business transformation., Minimum of 5-8 years of experience in omni-channel marketing, data analytics, or marketing automation implementation, with at least 2 years in a consulting role., 3+ years of experience in marketing orchestration, preferably with hands-on experience using marketing automation platforms (e.g., Salesforce Marketing Cloud, Adobe Campaign, Braze, Marketo, etc.) and leveraging customer data for personalized, cross-channel campaigns., Bachelors degree in data science, Business Analytics, Computer Science, Marketing, or related fields. Masters degree preferable., Technical Skills:, Proficiency in analytics tools (e.g., Python, R, SQL)., Familiarity with visualization tools (e.g., Tableau, Power BI)., Experience implementing CDP tools (Salesforce CDP, Adobe CDP, Segment etc), Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud) is a plus., Data Analytics, Data modelling, Digital Marketing, Digital Technology Consulting, Data-Driven Marketing, Proven track record of contributing to client engagements and delivering data-driven solutions., Strong communication, problem-solving, and interpersonal skills., Equal Opportunities at frog, Frog and Capgemini Invent are Equal Opportunity Employers encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status, or any other characteristic protected by law., Experience Level, Experienced Professionals",Bangalore,Data Science & Analytics,Full Time,Day Shift,Min. 8 years,NaN,17500
AI/ML Fresher,Bytesfarms Technologies,,"AI/ML Fresher, Skills:, - Proficient in using all Python libraries, - Hands on exp atleast 1-2 live projects based on AI/ML, - Exp: 3 months / 6 months internship mandatory, Interview Mode- F2F, Please apply by sharing your updated resume at, career@bytesfarms.com, .",Indore,Data Science & Analytics,Full Time,Day Shift,Freshers only,NaN,17500
Data Analyst,Eminenture Private Limited,,"Data Analyst, Responsibilities, Excellent verbal and written skills, Good command on Excel (Vlookup, Hlookup, Pivot Tables, Conditional Formatting, If Conditioning and other advanced Excel tools like VBA and Macros), Comfortable with UK–Shift Timing (13:00 to 22:00), Efficiency to work on outbound and in-house projects, Education, Minimum Graduation",Delhi,Data Science & Analytics,Full Time,Day Shift,Freshers only,NaN,17500
Data Engineer,Kotak Mahindra Bank,,"Business Intelligence-II-SUPPORT SERVICES-CTO Head, Data Engineer -1 (Experience – 0-2 years), What we offer, Our mission is simple – Building trust. Our customer's trust in us is not merely about the safety of their assets but also about how dependable our digital offerings are. That’s why, we at Kotak Group are dedicated to transforming banking by imbibing a technology-first approach in everything we do, with an aim to enhance customer experience by providing superior banking services. We welcome and invite the best technological minds in the country to come join us in our mission to make banking seamless and swift. Here, we promise you meaningful work that positively impacts the lives of many., About our team, DEX is a central data org for Kotak Bank which manages entire data experience of Kotak Bank. DEX stands for Kotak’s Data Exchange. This org comprises of Data Platform, Data Engineering and Data Governance charter. The org sits closely with Analytics org. DEX is primarily working on greenfield project to revamp entire data platform which is on premise solutions to scalable AWS cloud-based platform. The team is being built ground up which provides great opportunities to technology fellows to build things from scratch and build one of the best-in-class data lake house solutions. The primary skills this team should encompass are Software development skills preferably Python for platform building on AWS; Data engineering Spark (pyspark, sparksql, scala) for ETL development, Advanced SQL and Data modelling for Analytics., The org size is expected to be around 100+ member team primarily based out of Bangalore comprising of ~10 sub teams independently driving their charter., As a member of this team, you get opportunity to learn fintech space which is most sought-after domain in current world, be a early member in digital transformation journey of Kotak, learn and leverage technology to build complex data data platform solutions including, real time, micro batch, batch and analytics solutions in a programmatic way and also be futuristic to build systems which can be operated by machines using AI technologies., The data platform org is divided into 3 key verticals:, Data Platform, This Vertical is responsible for building data platform which includes optimized storage for entire bank and building centralized data lake, managed compute and orchestrations framework including concepts of serverless data solutions, managing central data warehouse for extremely high concurrency use cases, building connectors for different sources, building customer feature repository, build cost optimization solutions like EMR optimizers, perform automations and build observability capabilities for Kotak’s data platform. The team will also be center for Data Engineering excellence driving trainings and knowledge sharing sessions with large data consumer base within Kotak., Data Engineering, This team will own data pipelines for thousands of datasets, be skilled to source data from 100+ source systems and enable data consumptions for 30+ data analytics products. The team will learn and built data models in a config based and programmatic and think big to build one of the most leveraged data model for financial orgs. This team will also enable centralized reporting for Kotak Bank which cuts across multiple products and dimensions. Additionally, the data build by this team will be consumed by 20K + branch consumers, RMs, Branch Managers and all analytics usecases., Data Governance, The team will be central data governance team for Kotak bank managing Metadata platforms, Data Privacy, Data Security, Data Stewardship and Data Quality platform., If you’ve right data skills and are ready for building data lake solutions from scratch for high concurrency systems involving multiple systems then this is the team for you., You day to day role will include, Drive business decisions with technical input and lead the team., Design, implement, and support an data infrastructure from scratch., Manage AWS resources, including EC2, EMR, S3, Glue, Redshift, and MWAA., Extract, transform, and load data from various sources using SQL and AWS big data technologies., Explore and learn the latest AWS technologies to enhance capabilities and efficiency., Collaborate with data scientists and BI engineers to adopt best practices in reporting and analysis., Improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers., Build data platforms, data pipelines, or data management and governance tools., BASIC QUALIFICATIONS for Data Engineer/ SDE in Data, Bachelor's degree in Computer Science, Engineering, or a related field, Experience in data engineering, Strong understanding of AWS technologies, including S3, Redshift, Glue, and EMR, Experience with data pipeline tools such as Airflow and Spark, Experience with data modeling and data quality best practices, Excellent problem-solving and analytical skills, Strong communication and teamwork skills, Experience in at least one modern scripting or programming language, such as Python, Java, or Scala, Strong advanced SQL skills, PREFERRED QUALIFICATIONS, AWS cloud technologies: Redshift, S3, Glue, EMR, Kinesis, Firehose, Lambda, IAM, Airflow, Prior experience in Indian Banking segment and/or Fintech is desired., Experience with Non-relational databases and data stores, Building and operating highly available, distributed data processing systems for large datasets, Professional software engineering and best practices for the full software development life cycle, Designing, developing, and implementing different types of data warehousing layers, Leading the design, implementation, and successful delivery of large-scale, critical, or complex data solutions, Building scalable data infrastructure and understanding distributed systems concepts, SQL, ETL, and data modelling, Ensuring the accuracy and availability of data to customers, Proficient in at least one scripting or programming language for handling large volume data processing, Strong presentation and communications skills.","Mumbai, 1288-Mumbai - Kotak Infiniti-MAH, Kotak Infiniti, Building No. 21, Infinity Park, Bangalore, Karnataka, India",Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Associate Software Engineer- ML,Techvariable,,"Associate Software Engineer- ML, Roles and Responsibilities:, Assist in designing, training, and optimizing machine learning models., Support the development of scalable data pipelines for ML workflows., Perform exploratory data analysis and data preprocessing tasks., Collaborate with senior engineers and data scientists to implement solutions., Test and validate machine learning models for accuracy and efficiency., Document workflows, processes, and key learnings., Required Skills:, Education:, Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field, Technical Skills:, Basic proficiency in Python and knowledge of libraries like NumPy, Pandas, Scikit-learn, Tensorflow., Familiarity with SQL and basic data querying., Understanding of foundational machine learning concepts and algorithms., Exposure to cloud platforms (e.g., AWS, GCP, Azure) is a plus, Experience:, 0-1 years of experience in data engineering or related fields., Soft Skills:, Strong analytical skills and the ability to troubleshoot complex issues., Leadership skills to guide junior team members and drive team success., Preferred Skills/Qualifications, Education:, Bachelor’s degree in Computer Science, Information Technology, or related field., Technical Skills:, Fluent in Scikit-learn, Pytorch and Tensorflow., Basic understanding of containerization tools like Docker., Exposure to data visualization tools or frameworks., Experience:, 0-1 year, Key Performance Indicators:, Demonstrate progress in understanding and applying ML concepts., Successfully assist in completing ML or data-related tasks within set timelines.",Guwahati,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Associate Software Engineer- ML,Techvariable,,"Associate Software Engineer- ML, Roles and Responsibilities:, Assist in designing, training, and optimizing machine learning models., Support the development of scalable data pipelines for ML workflows., Perform exploratory data analysis and data preprocessing tasks., Collaborate with senior engineers and data scientists to implement solutions., Test and validate machine learning models for accuracy and efficiency., Document workflows, processes, and key learnings., Required Skills:, Education:, Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field, Technical Skills:, Basic proficiency in Python and knowledge of libraries like NumPy, Pandas, Scikit-learn, Tensorflow., Familiarity with SQL and basic data querying., Understanding of foundational machine learning concepts and algorithms., Exposure to cloud platforms (e.g., AWS, GCP, Azure) is a plus, Experience:, 0-1 years of experience in data engineering or related fields., Soft Skills:, Strong analytical skills and the ability to troubleshoot complex issues., Leadership skills to guide junior team members and drive team success., Preferred Skills/Qualifications, Education:, Bachelor’s degree in Computer Science, Information Technology, or related field., Technical Skills:, Fluent in Scikit-learn, Pytorch and Tensorflow., Basic understanding of containerization tools like Docker., Exposure to data visualization tools or frameworks., Experience:, 0-1 year, Key Performance Indicators:, Demonstrate progress in understanding and applying ML concepts., Successfully assist in completing ML or data-related tasks within set timelines.",Bangalore,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Python Developer,Qtech Software Pvt. Ltd.,,"Python Developer, Must Have Knowledge / Skills:, Machine Learning, Tensor Flow, Spacy, NLP, Flask, Django, Data Scrapping, Preferred qualifications:, Any Technical Graduate (BE / B.tech / B.Sc. / BCA / MCA Computer Science ), Desirable Background, Understanding of at least one Python framework -Django or Flask, Good knowledge of writing MySQL queries, Excellent Problem-Solving skills, Responsibilities, Should be able to do Research & Development Online to create the application with explained Logics., Documentation while building application (LLD)., Creative mind to develop innovative and unique solutions to complex problems on high traffic applications., Should be able to work independently on the development of the applications.",Mumbai,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
AI/ML Fresher,Bytesfarms Technologies,,"AI/ML Fresher, Skills:, - Proficient in using all Python libraries, - Hands on exp atleast 1-2 live projects based on AI/ML, - Exp: 3 months / 6 months internship mandatory, Interview Mode- F2F, Please apply by sharing your updated resume at, career@bytesfarms.com, .",Indore,Data Science & Analytics,Full Time,Day Shift,Freshers only,NaN,17500
Data Analyst,Eminenture Private Limited,,"Data Analyst, Responsibilities, Excellent verbal and written skills, Good command on Excel (Vlookup, Hlookup, Pivot Tables, Conditional Formatting, If Conditioning and other advanced Excel tools like VBA and Macros), Comfortable with UK–Shift Timing (13:00 to 22:00), Efficiency to work on outbound and in-house projects, Education, Minimum Graduation",Delhi,Data Science & Analytics,Full Time,Day Shift,Freshers only,NaN,17500
